Topic,Qualification
Database Administrator,"* Database administration
* Database performance optimization
* Database security infrastructure
* User account management
* Performance monitoring and problem identification
* Database documentation (standard procedure definition, data dictionary, metadata)
* SQL/Oracle knowledge
* IBM Rational Clearcase experience (optional)
* US security clearance and citizenship (top secret level required)
* Hardware and software upgrades implementation
* Collaboration with architects, technical specialists, project managers, and database programmers
* High-paced environment
* Dynamic database administration
* Boeing company experience (preferred)
* Bachelor's degree in related field, 9 years of experience, or equivalent combination of education and experience (basic qualification)
* Master's degree or Ph.D. in related field, 7 years or 4 years of experience, respectively (preferred)

Removed:

* Marketing language (""richardson texas location,"" ""build something better for the customer world"")
* Soft skills (""thinker,"" ""bold innovator,"" ""dreamer,"" ""skilled scientist,"" ""individual contributor,"" ""standard united state"")
* Non-essential information (""join Boeing Company,"" ""leading manufacturer commercial airplane defense space security system engineer technician,"" ""Boeing World's largest aerospace company,"" ""classified nature,"" ""many positions require security clearance granting discretion government authority,"" ""applicant must have current top secret security clearance,"" ""additionally applicant must be able to obtain program access security clearance upgrade and/or program access request initiated,"" ""applicant's acceptance contingent offer filling requisition,"" ""contingent based,"" ""authorized appropriate access granted,"" ""must advanced,"" ""desired qualification knowledge ibm rational clearcase bnh advisor"
Machine Learning,"1. Deep learning with Convolutional Neural Networks (CNN)
2. Object detection: Faster-RCNN, Single shot multibox detector (SSD), Mask RCNN
3. Semantic segmentation
4. Instance segmentation
5. Image processing with OpenCV
6. Proficiency in Python
7. TensorFlow, Keras
8. Scikit-learn, Numpy
9. Amazon Web Services (AWS): Elastic Cloud Compute (EC2), Amazon Sagemaker
10. Strong basics in machine learning
11. Computer vision
12. Experience in implementing research papers into production models
13. Familiarity with Pytorch
14. Startup experience (preferred)"
Machine Learning,"Machine Learning:
- Masters/Ph.D. in Computer Science, Machine Learning, Operational research, Statistics
- Predictive modeling and analysis, predictive software development
- Strong problem-solving ability
- Proficient in Java/Scala, C++, Perl/Python
- Experience using R, Matlab, statistical software
- Familiarity with large datasets (gigabytes, terabytes)
- Working knowledge of distributed systems, grid computing
- Up-to-date with latest ML technology
- Publications/presentations in ML/Data Mining journals/conferences"
Software Engineer,"- Software Engineering
- Application architecture
- Data architecture
- Infrastructure architecture
- Advanced knowledge of programming languages: HTML5, CSS 3.0, Bootstrap, Angular 8.x+, JavaScript, JQuery
- Proficient with Angular framework and Angular 8+
- Unit testing: Jasmine or protractor
- RESTful services
- Java and Java 8+
- Exposure to micro-services
- Design principles and design patterns
- Agile experience
- 5-8 years work experience
- Strong communication skills
- Strong problem-solving skills
- Deadline-driven
- Collaborative environment
- Diverse background
- Agile methodologies: Scrum, Kanban
- Version control: GIT
- Testing: Jasmine/Karma/protractor, Jenkins, CI/CD, Selenium
- Strong understanding of software development lifecycle
- Strong eye for detail, pixel perfection
- Interact with UX designers and product owners
- Fast-paced environment
- Ability to mentor and collaborate with distributed teams
- Strong understanding of design principles and design patterns
- Proficient in testing: Automated, Manual, Progression/Regression, Exploratory
- Familiarity with technology development projects and full technology development lifecycle
- Strong problem-solving skills
- Delivery-focused approach
- Multi-tasking
- Effective in collaborative environment
- Strong communication skills: Business customers, fellow IT professionals
- Proficient in design and development of technical artifacts
- Conduct testing of completed applications, websites, and software to assess user experience
- Experience with test management, defect management, and reporting/tracking."
Software Engineer,"1. Software design and development (moderate complexity Agile stories)
2. Debugging and issue resolution (moderate complexity software bugs)
3. Automated unit and integration-level testing
4. Conceptual design and architecture (small scale software solutions)
5. Guidance and mentoring (junior software engineers)
6. Source code management (decisions, tasks)
7. Object-oriented design
8. Java or .NET development
9. Relational database design and OLTP queries
10. XML/XSLT document design
11. JavaScript development
12. HTML5 & CSS
13. Agile methodology (Software Product Development Lifecycle)
14. Work authorization (legally authorized to work in the country)
15. Deadline management
16. Communication skills (team)
17. Independence (operation and guidance)
18. Sedentary work

These keywords capture the essential skills required for a Software Engineer I position. The list focuses on technical abilities, development methodologies, and work experience. By excluding non-essential information and soft skills, it becomes a suitable training dataset for machine learning models."
Java Developer,"* Java Developer
* 5+ years software development experience
* Modern Javascript (ES6+) and Node
* HTML5 / CSS3 / SCSS
* Vue or similar web frameworks (React, Angular)
* REST web services
* Java experience
* Javascript testing frameworks (Jest, Mocha, etc.)
* Build tools (npm, webpack)
* Version control (SVN, Git)
* Agile environment

Essential skills for a Java Developer role."
Wordpress Developer,"* WordPress experience
* PHP
* HTML/HTML5
* Javascript/jQuery
* Plugin-in development
* MySQL
* Proficient communication skills
* Self-upgrading on emerging technologies
* Project management
* Client management
* Team management
* Deadline-driven
* Knowledge of relational databases
* Object-oriented programming
* ERP/CRM integration
* Payment gateway integration
* Zend framework experience (optional)"
iOS Developer,"1. iOS Development experience (1-2 years)
2. Native iOS development
3. Hybrid app development (PhoneGap, Ionic, Titanium)
4. Database knowledge
5. Requirement gathering
6. Good communication skills
7. BE(Computers/Information Technology), MCA, BCA, BSc (Computer Science)
8. Location: Margao, Goa."
Database Administrator,"1. Database design and strategy
2. Database installation, configuration, administration
3. Oracle Database: tuning, troubleshooting, migration, backups, recovery
4. DBA team support: collaboration, guidance, mentoring
5. Data modeling, query tuning, performance optimization
6. High availability environment, disaster recovery
7. Knowledge of Oracle Data Guard, standby/failover administration
8. Experience with SQL, NoSQL databases
9. Strong problem-solving, technical issue resolution
10. Flexibility, adaptability, high degree of independence
11. Strong interpersonal and communication skills
12. Bachelor's degree in Computer Science or related field
13. Minimum 10+ years' experience in database administration.

Keywords: Database design, Strategy, Oracle, Database administration, Installation, Configuration, Troubleshooting, Migration, Backup, Recovery, Data modeling, Query tuning, Performance optimization, High availability, Disaster recovery, Oracle Data Guard, Standby/failover administration, SQL, NoSQL, Problem-solving, Technical issue resolution, Interpersonal, Communication, Bachelor's degree, Computer Science."
DevOps Engineer,"1. Cloud-based micro-service infrastructure design and implementation
2. Deploying, automating, maintaining, and managing production systems (AWS, GCP)
3. Linux Environment
4. Configuration management (Ansible, Chef, Puppet) and IAC (Terraform)
5. Automation (shell/python scripting to complex software engineering solutions)
6. Strong background in AWS or GCP
7. Problem-solving with monitoring tools (Datadog, Prometheus, Grafana)
8. Kubernetes experience (EKS, GKE, Openshift)
9. Strong experience with CI/CD tools (Jenkins, GitLab CI) or Java-based tools
10. Proficient in Bash, Go, Python, JS
11. Experience with Data Engineering services (Lake Formation, Glue, Athena, Redshift, Sagemaker, Kinesis, BigQuery)
12. SQL and NoSQL Databases (DynamoDB, RDS, PostgreSQL, ElasticSearch, MongoDB)
13. 3 years of experience in a similar role.
14. Problem-solving for complex infrastructure issues.
15. Strong background in distributed systems.
16. Highly accountable and takes ownership.
17. Team player.
18. Lifelong learner.

This list is focused on the essential technical skills required for the DevOps Engineer position. It's important to note that this list is not an exhaustive list, but rather a brief summary of the essential technical competencies for the role as described in the job posting. The soft skills, such as communication, teamwork, and problem-solving abilities are not"
Database Administrator,"1. Database administration (Oracle)
2. Daily administration
3. Database system optimization
4. Database performance tuning
5. SQL proficiency
6. Strong understanding of diagnostics and performance tuning
7. Oracle Database on Linux
8. Experience with IaaS/PaaS
9. In-depth understanding of database tools
10. Problem-solving skill
11. Customer service
12. Ability to work independently
13. Experience with loan origination/servicing support (preferred)
14. Strong understanding of Oracle Database architecture and design
15. Database capacity issue resolution
16. Replication and distributed data issue expertise
17. Strong understanding of Oracle Database and Weblogic
18. Bachelor's degree and comparable industry experience
19. 2+ years of Oracle Database experience
20. Oracle Database support experience (preferred)
21. Knowledge of computer hardware, SAN/NAS, networking, verbal and written communication skills."
Wordpress Developer,"- WordPress Developer
- 4-8 years experience
- front-end: CSS3, HTML5, JavaScript, jQuery
- back-end: database, server integration
- WordPress themes, plugins
- Website performance tests
- Troubleshooting content issues
- Knowledge of code versioning tools: Git, Mercurial, SVN
- Good understanding of website architecture and aesthetics
- Project management
- Good communication skills
- Bachelor’s degree in Computer Science or similar field
- WordPress: 1 year (preferred)
- Proven WordPress Developer experience
- Code versioning tools usage
- Good command over HTML, CSS, JavaScript, PHP
- WordPress theme and plugin development
- WordPress performance testing
- Database and server integration
- Client communication and training
- Familiarity with debugging tools: Chrome Inspector, Firebug
- Understanding of website architecture
- Able to manage projects
- Strong communication skills."
JavaScript Developer,"1. JavaScript, Python/Flask
2. PostgreSQL, Linux, Docker, Git, Cloud Services
3. Developing features or products
4. Building JavaScript applications
5. Developing APIs
6. Integrating with 3rd party APIs
7. Implementing UI
8. Maximizing ad revenues
9. Unit testing
10. Code reviews
11. Performance benchmarking
12. New trends and advancements in web development and ad tech
13. Collaboration
14. Communication skills
15. Teamwork
16. Interpersonal skills
17. Conflict management
18. Proficient in all stages of web development
19. Analytical and problem-solving skills
20. Detail orientation
21. Initiative
22. Reliability and responsibility
23. Thought leadership."
Database Administrator,"1. Database design and administration
2. Two to four year work experience in database administration
3. Troubleshooting and resolving database, desktop, server, and network issues
4. Technical support for Microsoft Dynamic applications and Windows operating system
5. SQL Server and Microsoft Dynamic 365 knowledge
6. Excellent verbal and written communication skills
7. Detail-oriented problem-solving
8. Organizational decision-making
9. Prioritizing tasks and managing projects independently
10. Knowledge of Microsoft Office platform and server administration
11. Experience with telecommunication equipment, network devices, and ISO design installation
12. Developing and implementing solutions and work-arounds
13. Ensuring documentation of business requirements and maintaining in-depth knowledge of business processes
14. Performing routine server and network administration duties
15. Maintaining and providing support for various software and hardware related to network and peripheral devices."
PHP Developer,"* PHP
* HTML
* CSS
* jQuery
* IT background
* Familiarity with WordPress
* Experience with software development (preferred)
* Bachelor's degree (preferred)
* Core PHP (preferred)
* Programming languages: Python (preferred)
* Software Development industry."
iOS Developer,"* iOS platform app development
* Objective-C, Swift
* iOS frameworks: Core Data, Core Animation
* Agile SDLC methodologies
* Offline storage, threading, performance tuning
* RESTful APIs
* Push notifications
* Code versioning tools: Git, Mercurial, SVN
* Apple design principles, interface guidelines
* Performance and memory tuning (Instruments)"
Java Developer,"- Java Development (Software Developer)
- HTML5, CSS3, web standards
- Modern JavaScript (ES6/ES2015, ES2017, TypeScript)
- Front-end frameworks (React, Vue.js)
- Front-end tooling (Babel, webpack, gulp, parcel)
- Responsive web application building
- UI/UX design concepts
- Basic command line proficiency (Linux, Mac OS X)
- Version control system (Git)
- Cloud service providers (AWS)
- GitHub profiles or personal websites with technical articles and code samples (desirable)
- Test driven development (Jest, Jasmine, Mocha/Chari/Sinon, Karma)
- Server side development (node.js, express)
- GraphQL
- Additional programming languages (clojurescript, TypeScript)
- Accessibility

Essential Skills for Java Developer:
- Java Development
- HTML5, CSS3
- Modern JavaScript
- Front-end frameworks
- Front-end tooling
- Responsive web application building
- Git
- Cloud service providers (AWS)"
Django Developer,"1. Django development
2. Python programming
3. Scalable coding
4. Testing and debugging
5. Back-end component development
6. Server-side logic integration
7. Client feature assessment and prioritization
8. Data storage solution integration
9. Coordination with front-end developers
10. Database reprogramming
11. Digital tools development for traffic monitoring.

Excluded:
- Coordinating with development teams
- Assessing and prioritizing client feature requests (assessment and prioritization are considered soft skills)
- Reprogramming existing databases (implies database knowledge, which could be broken down into specific SQL or NoSQL database keywords)
- SHARE YOUR RESUME HR TEAM WHAT’S APP NUMBER (marketing language and personal information)"
DevOps Engineer,"1. DevOps Engineer
2. Analytical mindset, result-oriented
3. 3-6 years experience
4. Automate and streamline processes
5. Build and maintain deployment, monitoring, and operations tools
6. Troubleshoot and resolve issues in test and production environments
7. Maintain network security and integrity
8. Administer servers, storage, backup devices, VPN, and wireless infrastructure
9. Perform daily system and security monitoring
10. Handle critical operation tasks and on-demand requests
11. Collaborate with development teams
12. DevOps champion: build security, reliability, and scalability
13. Build engineering automation and productivity tools
14. Infrastructure services: AWS, failover, Disaster Recovery
15. Good understanding of LINUX Operating System
16. Experience with monitoring tools: CloudWatch, Nagios, New Relic, ELK
17. Strong background with AWS services: EC2, VPC, ELB, S3, CloudFormation, Opsworks, RDS, Route53, SQS, IAM, SES, API Gateway, EMR, Auto scale, Cloud watch
18. Strong written and verbal communication skills."
JavaScript Developer,"JavaScript Developer:
- Proficiency in English
- Strong JavaScript (MVC, MVVM, ES6)
- NodeJS, Express
- Web app development (Bootstrap, jQuery)
- Understanding of SQL
- Experience in writing Unit Tests
- Good understanding of SQL and AWS Cloud environment
- Familiarity with OAuth v2 is desirable

Key Skills:
- JavaScript proficiency
- NodeJS, Express, ES6
- Web app development (Bootstrap, jQuery)
- SQL
- Unit testing
- AWS Cloud environment

Desirable Skills:
- PostgreSQL, PostGIS
- ExtJS 6.x
- HTML/CSS
- NoSQL (MongoDB/ElasticSearch)
- Amazon AWS Lambda, API Gateway, EC2, S3, SNS, SQS

Responsibilities:
- Develop server and web applications using JavaScript
- Improve existing and new JavaScript applications
- Write unit tests and documentation
- Debug and problem-solve bugs
- Work with SQL databases
- Work in AWS Cloud environment

Requirements:
- 4 years of total work experience
- 3 years of JavaScript experience (preferred)
- Bachelor's degree

Benefits:
- Competitive salary
- Performance bonus (quarterly)
- Laptop stipend
- Work from home
- Flexible hours
- Paid leaves/leave encashment
- PTO

Industry: Software Development
Work Type: Full-time
Work Remotely: Yes"
Machine Learning,"**Job Title:** ""Senior Manager, Data Engineering""
**Essential Skills:**
- 2 years of relevant technical lead experience
- 5+ years of experience in at least one object-oriented language (Java, Python, Scala)
- 5+ years of experience with SQL and large datasets
- Machine Learning knowledge
- Experience with open source big data technologies (MapReduce, Spark, Flink)
- Data pipelines in the Cloud design, development, and deployment
- Strong problem-solving skills
- Team management and mentoring
- Real-time data processing and scoring
- Machine learning algorithms implementation
- Performance management and monitoring
- Continuous improvement driving
- Knowledge of Data Science
- Familiarity with AWS or GCP ecosystem (optional)
- Expertise in streaming data pipelines using open source technologies (optional)
- Productionalizing machine learning models experience (optional)"
PHP Developer,"1. PHP development experience (1-4 years)
2. Integration of front-end elements
3. Efficient PHP module development
4. Testable and reusable PHP modules
5. Understanding of PHP synchronous behavior
6. Familiarity with front-end techs: JavaScript, HTML5, CSS3
7. PHP platform limitations knowledge
8. JavaScript, HTML5, CSS3 familiarity (as software skills)"
PHP Developer,"1. PHP (1-3 years experience)
2. HTML, CSS, JS
3. Front-end: Ajax, Bootstrap, Jquery
4. Backend: Mysql, PhpMyadmin
5. Frameworks: Laravel, Codeignitor, Zend
6. MVC design patterns
7. Object-oriented PHP programming
8. Software development experience (1 year preferred)
9. Bachelor's degree (preferred)
10. MySQL, PHP, Laravel, Codeignitor, Zend, JavaScript, HTML, CSS
11. MVC design patterns
12. Object-oriented programming."
Machine Learning,"1. Machine Learning
2. Data exploration and understanding
3. Machine learning product architecture
4. Feature engineering and modeling
5. Collaboration with scientists and product management
6. Infrastructure design and implementation
7. Machine learning frameworks: Spark, PyTorch, SciKit learn
8. Microservices based architecture
9. AWS development
10. PhD or MS in Computer Science/Machine Learning
11. 8+ years experience

(PhD preferred)"
Backend Developer,"- Backend development with Microservices, REST APIs
- Cloud Technologies: Java, Spring Boot
- Node.js, AJAX, JSON, integration
- NoSQL: Combos DB, RDBMS: Azure, SQL
- Azure functions, deployment
- Unit testing: Junit, Rest Assured, Serenity, JMeter
- Strong programming skills, integration experience
- Knowledge: software design patterns, distributed systems, resiliency, security, logging
- Experience with: Ant, Gradle, Docker, Jenkins
- Bachelor’s degree, 6+ years programming skills

Essential skills for Backend Developer role:
- Microservices, REST APIs
- Cloud Technologies: Java, Spring Boot
- NoSQL, RDBMS, Azure, SQL
- Azure functions, deployment
- Unit testing: Junit, Rest Assured, Serenity, JMeter
- Programming skills, strong integration experience
- Knowledge: software design patterns, distributed systems, resiliency, security, logging
- Experience with: Ant, Gradle, Docker, Jenkins

Keywords for machine learning model:
[""Back-end development"", ""Microservices"", ""REST APIs"", ""Java"", ""Spring Boot"", ""Node.js"", ""AJAX"", ""JSON"", ""NoSQL"", ""Combos DB"", ""RDBMS"", ""Azure"", ""SQL"", ""Azure functions"", ""Deployment"", ""Unit testing"", ""Junit"", ""Rest Assured"", ""Serenity"", ""JMeter"", ""Programming skills"", ""Integration experience"", ""Software design patterns"", ""Distributed systems"", ""Resiliency"", ""Security"", ""Logging"", ""Ant"", ""Gradle"", ""Docker"
DevOps Engineer,"1. Kubernetes, Docker
2. CI/CD applications (Jenkins, GIT, Sonarqube, Artifactory, JIRA)
3. Public cloud
4. Ansible
5. Maven, npm, build frameworks
6. Deploy microservices
7. Multi-tenant cloud architecture
8. Nginx, tomcat, JBoss, webservers
9. Troubleshooting: databases, networking
10. Shell scripting, Linux
11. Strong knowledge: Docker, custom Dockerfile, Docker-compose files
12. Container orchestration: Kubernetes, OpenShift
13. Monitoring: Zabbix, Nagios, AppDynamics
14. ELK Stack, Splunk
15. Agile development methodologies
16. Experience: Production environments, SRE activities
17. Work experience: 3 years total, 3 years DevOps
18. Full-time
19. Remote

Note: The list above is a condensed version of the provided qualifications and does not contain any marketing language or non-essential information."
Network Administrator,"1. Bachelor's degree
2. CCNP, CCNA certifications
3. 1+ years experience in Network/ Security Engineering
4. Checkpoint, Fortigate firewall & IPS configuration
5. Cisco Router configuration
6. Handle daily Checkpoint/ Fortigate firewall & IPS issues
7. IPSec VPNs implementation and management
8. Network monitoring for security breaches, service outages, performance issues
9. Troubleshooting and investigating security anomalies
10. Communication for incident and problem management
11. Problem solving skills on firewalls, switching, routing devices
12. Knowledge of MPLS and internet leas line links
13. Adhere to change control process
14. Self-sufficient, able to work under pressure, and keep managers informed
15. Firewall, IPS, Checkpoint, Fortigate, Cisco, Router, Switching, Routing, MPLS, internet leas line links, VPN, troubleshooting, problem management, communication, change control, self-sufficient, calm under pressure, informed progress."
Wordpress Developer,"* Wordpress development experience
* Plugin customization
* WordPress + WooCommerce
* PHP open source frameworks (Magento, Joomla, CakePHP)
* WordPress theme integration
* Client instruction following
* Cross-platform and cross-browser issues understanding
* Web performance optimization
* SEO process knowledge
* Reactjs experience (optional)
* Write efficient and well-designed code
* Create website layouts / user interfaces
* Integrate back-end services and databases
* Maintain, expand, and scale websites
* Keep updated on emerging technologies and industry trends."
Network Administrator,"1. Hardware and software installation and troubleshooting
2. WI-FI access point maintenance
3. Network and Server maintenance
4. Windows-based server handling
5. IT software usage
6. Hardware issue resolution
7. Network switch, router, and firewall configuration and maintenance
8. Problem-solving
9. Strategic planning
10. Multi-tasking
11. Full-time or contract
12. 1-year experience (preferred)
13. Network Administration experience (preferred)
14. Secondary education completion (preferred)"
PHP Developer,"**Essential Skills for PHP Developer:**

1. Strong knowledge of PHP web frameworks (CodeIgnitor)
2. Understanding of MVC design patterns
3. Basic understanding of front-end technologies (JavaScript, HTML5, CSS3)
4. Knowledge of object-oriented PHP programming
5. Understanding of SQL/NoSQL/MySQL databases
6. Proficient with code versioning tools (Git)
7. Strong knowledge of PHP or web server security
8. Understanding of database schemas and business processes
9. User authentication and authorization
10. Integration of multiple data sources and databases
11. Familiarity with limitations of PHP
12. Experience with AWS, Redis, Memcached, or RESTful APIs (bonus)
13. Strong problem-solving abilities
14. Ability to write clean, efficient code
15. Familiarity with industry best practices
16. Ability to contribute to all phases of development lifecycle."
Software Engineer,"1. Software Engineer
2. 6-9 years experience
3. BE/BTech/MCA in Computer Science
4. Java SE and EE experience
5. Multithreading experience
6. JUnit, Jmockit, Easy Mock experience
7. Spring Framework experience
8. REST, SOAP, XML experience
9. TLS, TCP, Linux permissions, certificates, security algorithms knowledge
10. Agile (Kanban) R&D experience
11. Scripting experience: Shell/Perl/Python
12. Telecom domain knowledge (optional)
13. Cloud principles (optional)
14. Containerization experience: Dockers & Kubernetes
15. Self-starter
16. Good communication skills
17. Strong collaborative skills
18. Leadership skills (optional)"
Software Engineer,"* Software engineering
* Full-stack python application development
* REST API development (Flask/Django)
* MVC, ORM, Restful
* Databases (PostgreSQL, CBS)
* Front-end technologies (Angular)
* Object-oriented programming (OOPs)
* Agile development methodologies
* Test-driven development"
Java Developer,"1. Java development experience (min. 2-5 years)
2. Bachelor's Degree in Computer Science or related technical discipline
3. Advanced Java knowledge (professional environment)
4. Experience with shipped products
5. Good knowledge: Spring, Hibernate, JSF, J2EE, SQL, Oracle, web applications development
6. Understanding: coding techniques, technology frameworks, installations, testing methodologies, troubleshooting
7. Passion for problem-solving
8. Good English (written and oral)

Optional Skills:
1. Previous experience with commercial HRIS applications
2. Agile methodologies knowledge
3. Adobe Flex experience
4. Professional experience in SAAS model
5. Understanding of enterprise market
6. SDLC experience."
Wordpress Developer,"1. WordPress, Woocommerce
2. UI, JavaScript, jQuery, Ajax
3. HTML, CSS, Bootstrap
4. SEO strategies
5. On-page and off-page activities
6. Social media account management
7. HTML layout changes
8. Google Analytics, Stat counter, webmaster tools
9. Keyword analysis
10. Google updates handling."
Node js developer,"* Node.js, Express
* Angular, HTML5, CSS, JavaScript
* MongoDB
* Event-driven, asynchronous I/O frameworks
* RESTful, GraphQL APIs
* Microservices
* Unit tests
* Code reviews
* Continuous integration
* Deployment
* Secure code
* Linux development environment
* Microservice architecture
* Server/client interactions
* Scalability
* Caching
* Web application performance optimization
* Cross-browser compatibility
* Familiarity with relational or NoSQL databases."
Flutter Developer,"* Job title: Flutter Developer
* Qualifications:
  * Experience with React Native and Flutter
  * Firm grasp of JavaScript, including ES6+ syntax
  * Knowledge of Flexbox for mobile UI design
  * Understanding of REST APIs and 3rd party APIs
  * Familiarity with native build tools (Xcode, Gradle) and state management libraries (Redux)
* Skills:
  * Flutter: 1 year (preferred)
  * React Native: 1 year (required)
  * React JS: 1 year (required)
  * APIs development: 1 year (required)
  * JavaScript
  * Mobile UI design with Flexbox
* Essential keywords:
  * Flutter
  * React Native
  * JavaScript
  * ES6+
  * Flexbox
  * Mobile UI design
  * REST APIs
  * 3rd party APIs
  * Native build tools (Xcode, Gradle)
  * State management libraries (Redux)
  * 1 year experience (each) with Flutter, React Native, React JS, APIs development."
Machine Learning,"Machine Learning Engineer:
- Design machine learning pipelines and data pre-processing
- Identify trends and interpret complex data
- Present clear and concise data analysis
- Study and transform data science prototypes
- Research and implement ML algorithms and tools
- Develop machine learning applications
- Select appropriate datasets and representation methods
- Run machine learning tests and experiments
- Perform statistical analysis and fine-tuning
- Extend existing ML libraries and frameworks (e.g., Keras, PyTorch, scikit-learn)
- Write robust code in Python
- Understanding of data structures, data modeling, and software architecture
- Familiarity with cloud services (PaaS, SaaS, Rest API, serverless functions)
- Deep knowledge of math, probability, statistics, and algorithms"
DevOps Engineer,"* Linux/Unix Administration, Shell scripting
* Cloud infra providers: AWS, IBM, Azure, GCP
* Relational and NoSQL databases, database replication, sharded NoSQL databases
* CI/CD: Jenkins, TFS
* Monitoring: Icinga, Nagios, Splunk, Loggly
* Agile methodology
* Containers: Dockers, Docker Swarm, Kubernetes
* Configuration management tools: Puppet, Chef, Ansible
* Scripting
* SQL, MSSQL
* Experience: 1-3 years

Skills: Linux, Shell, AWS, Jenkins, CI/CD, TFS, MongoDB, Cassandra, SQL, NoSQL, Azure, VMware, GIT, Containers, Ansible, Icinga, Nagios, Scripting, Splunk, Loggly, Agile, Puppet, Chef."
